name,department,website_domain,source_domain,verified_twitter_account_linking_to_domain,crunchbase_account_linking_to_domain,google_query_yielding_domain_in_first_non_ad_position,ssl_ov_verification,country,province,city,serial_number,employer_identification_number,incorporation_year,source_serial_number,charity_npo_number,source_charity_number,vat_id,lei_number,source_lei,isin,confidence,notes_confidence,employees_2022,source_employees,employee_count_estimate_min,employee_count_estimate_max,employees_min,wikidata_id,skip,superseded
Amnesty International,,amnesty.org,,https://twitter.com/amnesty|2.1m followers|Verified since August 2012.,https://www.crunchbase.com/organization/amnesty-international,amnesty,FALSE,United Kingdom of Great Britain and Northern Ireland (the),"London, City of",London,2007475,,1986,https://find-and-update.company-information.service.gov.uk/company/02007475,294230,https://register-of-charities.charitycommission.gov.uk/charity-details/?regId=294230&subId=0,,,,,0.9,,,,1000,5000,1000,Q42970,1,
Human Rights Watch,,hrw.org,,https://twitter.com/hrw|5M Followers|Verified since August 2010.,https://www.crunchbase.com/organization/human-rights-watch,human rights watch,,United States of America (the),New York,New York City,,13-2875808,,https://apps.irs.gov/pub/epostcard/cor/132875808_202006_990_2021052018155956.pdf,,,,,,,0.9,,,,500,3000,100,Q187052,1,
Wikimedia Foundation Org,,wikimediafoundation.org,,,https://www.crunchbase.com/organization/wikimedia-foundation,wikimedia foundation,FALSE,United States of America (the),California,San Francisco,,20-0049703,,https://apps.irs.gov/pub/epostcard/cor/200049703_202106_990_2022071820228872.pdf,,,,,,,0.95,,,,250,500,100,Q180,1,
CHIEF EXECUTIVE LEADERSHIP INSTITUTE OF THE YALE SCHOOL OF MANAGEMENT INC,,celi.som.yale.edu,,,,,FALSE,United States of America (the),District of Columbia,"Washington, D.C.",58-2617787,58-2617787,,https://apps.irs.gov/pub/epostcard/cor/582617787_202006_990_2021041317936068.pdf,,,,,,,0.8,,,,,,,,1,
CONVERGENCE ANALYSIS,,convergenceanalysis.org,,,,,,United States of America (the),California,Berkeley,,83-2842233,,https://apps.irs.gov/pub/epostcard/cor/832842233_202012_990EZ_2021080218640241.pdf,,,,,,,0.9,,,,5,20,0,,1,
University of Oxford,Future of Humanity Institute,fhi.ox.ac.uk,,,,,,United Kingdom of Great Britain and Northern Ireland (the),Oxfordshire,Oxford,,,,,,,,,,,0.9,,,,,,,,,
Future of Life Institute,,futureoflife.org,,,,,,United States of America (the),Pennsylvania,Narberth,,47-1052538,,https://apps.irs.gov/pub/epostcard/cor/471052538_202012_990_2022102520550621.pdf,,,,,,,0.9,,,,,,,,1,
EFFECTIVE VENTURES FOUNDATION (UK),Centre for the Governance of AI,governance.ai,,,,,,United Kingdom of Great Britain and Northern Ireland (the),Oxfordshire,Oxford,7962181,,,https://find-and-update.company-information.service.gov.uk/company/07962181,1149828,https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/5026843,,,,,0.9,,,,,,,,,
CENTER ON LONG-TERM RISK,,longtermrisk.org,https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/5147180/contact-information,,,,,United Kingdom of Great Britain and Northern Ireland (the),"London, City of",London, CE025927,,2021,https://find-and-update.company-information.service.gov.uk/company/CE025927,1195079,https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/5147180/contact-information,,,,,0.9,,,,,,,,1,
Georgetown University,Center for Security and Emerging Technology,cset.georgetown.edu,,,,,,United States of America (the),,Washington D.C,,53-0196603,,https://apps.irs.gov/pub/epostcard/cor/530196603_202006_990_2021052618199041.pdf,,,,,,,0.9,,,,,,,,,
Effective Ventures Foundation USA,,ev.org,,,,,,United States of America (the),California,San Francisco,,47-1988398,,https://apps.irs.gov/pub/epostcard/cor/471988398_201912_990_2021022217737745.pdf,,,,,,,0.9,,,,,,,,1,
ALPENGLOW GROUP LIMITED,Center for Long-Term Resilience ,longtermresilience.org,,,,,,United Kingdom of Great Britain and Northern Ireland (the),"London, City of",London,12308171,,,https://find-and-update.company-information.service.gov.uk/company/12308171/filing-history,,,,,,,0.8,,,,,,,,,DjQoPZ4CcIXElLiLx1sP6Tnc9jjn1kJtaaXSgoLR1Hk
Stichting International Center for Future Generations,,icfg.eu,,,,,,Netherlands (the),Noord-Brabant,'s-Hertogenbosch,82190720,,,https://www.kvk.nl/bestellen/#/82190720,,,,,,,0.9,,,,,,,,,
CENTER FOR AI POLICY INC,,aipolicy.us,,,,,,United States of America (the),California,Berkeley,,93-2050941,,https://apps.irs.gov/pub/epostcard/dl/FinalLetter_93-2050941_CENTERFORAIPOLICYINC_07262023_00.pdf,,,,,,,0.9,,,,,,,,1,
Future Matters Project gGmbH,,futuremattersproject.org,,,,,,Germany,Berlin,Berlin,HRB 251407,,,https://www.handelsregister.de/rp_web/chargeinfo.xhtml,,,,,,,0.9,,,,,,,,1,
Machine Intelligence Research Institute,,intelligence.org,,,,,,United States of America (the),California,Berkeley,,58-2565917,,https://apps.irs.gov/pub/epostcard/cor/582565917_202012_990_2022102520550951.pdf,,,,,,,0.9,,,,,,,,,
CENTRE FOR ENABLING EA LEARNING & RESEARCH,,ceealar.org,,,,,,United Kingdom of Great Britain and Northern Ireland (the),Lancashire,Blackpool,CE022043,,,https://find-and-update.company-information.service.gov.uk/company/CE022043,1189768,https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/5148547/contact-information,,,,,0.9,,,,,,,,,
